Image Sticker,Slice Index,Model,IoU,Dice
lung_071,158,EfficientSAM (VIT-tiny),0.5370370370370371,0.6987951807228916
lung_071,158,EfficientSAM (VIT-small),0.5638888888888889,0.7211367673179396
lung_071,159,EfficientSAM (VIT-tiny),0.4263565891472868,0.5978260869565217
lung_071,159,EfficientSAM (VIT-small),0.4583333333333333,0.6285714285714286
lung_071,160,EfficientSAM (VIT-tiny),0.1694915254237288,0.2898550724637681
lung_071,160,EfficientSAM (VIT-small),0.2673521850899742,0.4219066937119675
lung_071,161,EfficientSAM (VIT-tiny),0.2795180722891566,0.4369114877589454
lung_071,161,EfficientSAM (VIT-small),0.4032258064516129,0.5747126436781609
lung_071,162,EfficientSAM (VIT-tiny),0.2428940568475452,0.3908523908523909
lung_071,162,EfficientSAM (VIT-small),0.3717105263157895,0.5419664268585132
lung_071,163,EfficientSAM (VIT-tiny),0.2054794520547945,0.3409090909090909
lung_071,163,EfficientSAM (VIT-small),0.2857142857142857,0.4444444444444444
lung_071,164,EfficientSAM (VIT-tiny),0.2324723247232472,0.3772455089820359
lung_071,164,EfficientSAM (VIT-small),0.2356687898089172,0.3814432989690721
lung_074,259,EfficientSAM (VIT-tiny),0.1538461538461538,0.2666666666666666
lung_074,259,EfficientSAM (VIT-small),0.1379310344827586,0.2424242424242424
lung_074,261,EfficientSAM (VIT-tiny),0.0,0.0
lung_074,261,EfficientSAM (VIT-small),0.0,0.0
lung_074,262,EfficientSAM (VIT-tiny),0.0,0.0
lung_074,262,EfficientSAM (VIT-small),0.125,0.2222222222222222
lung_074,263,EfficientSAM (VIT-tiny),0.0,0.0
lung_074,263,EfficientSAM (VIT-small),0.0,0.0
lung_074,265,EfficientSAM (VIT-tiny),0.0666666666666666,0.125
lung_074,265,EfficientSAM (VIT-small),0.0869565217391304,0.16
lung_074,266,EfficientSAM (VIT-tiny),0.0833333333333333,0.1538461538461538
lung_074,266,EfficientSAM (VIT-small),0.0434782608695652,0.0833333333333333
lung_074,267,EfficientSAM (VIT-tiny),0.0,0.0
lung_074,267,EfficientSAM (VIT-small),0.0909090909090909,0.1666666666666666
lung_074,268,EfficientSAM (VIT-tiny),0.0,0.0
lung_074,268,EfficientSAM (VIT-small),0.0087719298245614,0.017391304347826
lung_074,271,EfficientSAM (VIT-tiny),0.3520782396088019,0.5207956600361664
lung_074,271,EfficientSAM (VIT-small),0.4136125654450261,0.5851851851851851
lung_074,272,EfficientSAM (VIT-tiny),0.3427230046948357,0.5104895104895105
lung_074,272,EfficientSAM (VIT-small),0.4337349397590361,0.6050420168067226
lung_074,273,EfficientSAM (VIT-tiny),0.4301075268817204,0.6015037593984962
lung_074,273,EfficientSAM (VIT-small),0.4202453987730061,0.591792656587473
lung_074,274,EfficientSAM (VIT-tiny),0.4947368421052631,0.6619718309859155
lung_074,274,EfficientSAM (VIT-small),0.4166666666666667,0.5882352941176471
lung_074,275,EfficientSAM (VIT-tiny),0.507949790794979,0.6736958934517203
lung_074,275,EfficientSAM (VIT-small),0.3413001912045889,0.5089094796863863
lung_074,276,EfficientSAM (VIT-tiny),0.5431985294117647,0.7039904705181655
lung_074,276,EfficientSAM (VIT-small),0.4338433843384338,0.6051475204017577
lung_074,277,EfficientSAM (VIT-tiny),0.4907488986784141,0.6583924349881797
lung_074,277,EfficientSAM (VIT-small),0.559433962264151,0.7174833635813672
lung_074,278,EfficientSAM (VIT-tiny),0.6101694915254238,0.7578947368421053
lung_074,278,EfficientSAM (VIT-small),0.5386029411764706,0.7001194743130227
lung_074,279,EfficientSAM (VIT-tiny),0.4888392857142857,0.656671664167916
lung_074,279,EfficientSAM (VIT-small),0.5399686520376176,0.7012722646310433
